Flow_L_min,label,TDS_smooth,Turbidity_smooth
0.27,2,825.6,2532.2
0.53,1,1229.0,3100.2
0.27,2,899.0,3121.0
0.27,2,816.6,2424.0
1.33,0,934.2,1662.2
1.2,0,902.2,1695.4
0.27,3,889.0,1713.0
1.47,0,1010.8,1677.4
0.67,3,986.2,2540.0
0.13,2,1284.4,2548.0
0.13,3,980.0,2505.6
1.2,1,1875.2,1890.4
0.27,2,1015.0,2736.8
1.2,1,1964.8,1915.8
0.13,3,896.0,1712.0
1.33,0,864.4,1691.4
0.13,3,905.6,1710.4
0.0,3,958.4,2253.4
0.93,0,2071.8,1750.4
0.8,1,2076.6,3126.4
0.27,2,813.2,2341.4
0.27,2,865.6,2235.2
0.4,2,810.4,2255.2
0.67,3,950.8,2862.2
1.33,0,1142.8,1641.4
0.4,1,1242.8,3110.2
0.8,1,2092.6,3125.0
1.33,0,1137.2,1642.4
0.27,2,991.2,2449.0
0.13,3,1001.2,2125.6
0.13,2,1365.0,2785.2
0.27,2,892.8,2987.0
1.33,0,916.4,1690.2
0.4,1,1173.2,3106.2
1.33,0,1075.6,1656.0
1.33,0,955.2,1693.2
0.13,3,1000.8,2115.4
1.33,0,1184.0,1742.8
1.07,1,1935.8,2924.4
1.2,1,1794.2,3109.4
1.07,1,1865.2,3140.4
0.67,3,962.6,2516.8
1.2,1,1830.4,3137.8
0.27,2,1018.0,2735.6
1.07,1,1933.6,2893.0
0.27,2,1258.4,2638.8
1.33,0,1179.0,1637.8
0.27,2,1173.0,2693.0
0.67,1,1981.6,2923.2
0.13,3,894.4,1703.6
0.27,2,863.0,2202.4
1.07,1,1878.4,3133.4
1.33,0,978.8,1726.8
0.13,3,961.4,2735.0
0.13,3,888.8,1712.0
0.13,3,894.4,1705.6
0.27,2,826.4,2496.8
1.07,1,1834.0,3136.2
1.07,0,1650.2,1755.4
1.33,0,948.8,1710.6
0.27,2,1015.8,2743.2
0.27,2,868.0,2189.4
0.67,3,995.8,2550.8
0.53,2,1379.0,2642.8
0.93,1,2242.8,3123.0
1.33,0,1005.0,1743.2
0.27,2,1217.0,2636.0
1.33,0,1112.2,1749.4
1.47,1,2085.4,1396.4
0.13,3,1001.0,2134.8
0.27,2,1186.0,2533.6
1.07,1,1755.6,2890.2
1.33,0,1038.2,1668.0
1.07,1,1739.6,3119.6
1.33,0,965.6,1719.2
1.07,1,1768.0,3050.6
0.13,2,885.4,3127.6
0.27,2,1073.4,2763.8
0.0,3,953.4,2209.8
0.13,3,932.8,1722.6
0.53,2,803.0,2249.0
0.53,2,1390.4,2889.0
1.33,0,928.6,1683.2
0.0,3,948.0,2745.0
1.33,0,868.6,1694.4
1.2,0,1598.6,1748.2
0.0,3,916.6,1702.8
0.0,3,1008.0,2683.6
1.33,0,1226.6,1741.0
0.27,2,1224.0,2788.2
0.93,1,1981.0,2920.4
1.33,0,950.2,1688.4
0.53,1,349.6,3117.0
0.27,2,1184.6,2581.0
1.07,1,1954.6,3118.6
1.07,1,1992.6,3122.8
0.4,2,924.2,2983.6
1.47,1,1732.8,1336.4
0.27,2,822.8,2246.8
0.53,1,935.8,3082.4
1.33,0,1192.2,1736.2
0.67,1,969.8,3079.2
1.07,2,1130.8,2484.0
1.2,1,1966.0,1858.8
0.13,2,824.2,2523.8
