Time_sec,TDS_raw,Turbidity_raw,Flow_L_min
0,917,2288,0.93
1,915,2315,0.80
2,896,2311,0.93
3,889,2299,0.93
4,894,2384,0.80
5,870,2325,0.80
6,874,2343,0.80
7,878,2358,0.67
8,880,2363,0.67
9,882,2388,0.67
10,903,2491,0.67
11,903,2391,0.80
12,909,2549,0.67
13,910,2549,0.67
14,909,2559,0.67
15,898,2608,0.67
16,912,2587,0.80
17,900,2541,0.67
18,920,2529,0.67
19,922,2512,0.67
20,913,2449,0.67
21,923,2441,0.67
22,921,2270,0.67
23,926,2384,0.67
24,937,2550,0.80
25,944,2559,0.67
26,958,2523,0.67
27,977,2528,0.67
28,987,2549,0.67
29,1005,2547,0.67
30,1004,2553,0.67
31,998,2559,0.67
32,983,2551,0.67
33,989,2544,0.67
34,994,2554,0.67
35,1007,2611,0.67
36,993,2677,0.80
37,977,2661,0.67
38,992,2675,0.67
39,982,2630,0.67
40,970,2512,0.67
41,986,2498,0.67
42,970,2465,0.67
43,971,2448,0.67
44,983,2448,0.67
45,979,2442,0.67
46,976,2466,0.67
47,971,2480,0.67
48,978,2471,0.67
49,959,2509,0.67
50,988,2512,0.80
51,969,2523,0.67
52,976,2534,0.53
53,988,2491,0.67
54,981,2503,0.80
55,974,2506,0.67
56,975,2511,0.67
57,990,2515,0.67
58,976,2517,0.67
59,998,2512,0.67
60,976,2534,0.67
61,975,2559,0.67
62,1006,2559,0.67
63,976,2654,0.67
64,981,2559,0.67
65,991,2559,0.67
66,991,2541,0.67
67,973,2546,0.67
68,988,2545,0.67
69,975,2534,0.67
70,973,2535,0.67
71,965,2610,0.67
72,961,2539,0.80
73,963,2590,0.67
74,961,2545,0.67
75,963,2300,0.67
76,957,2385,0.67
77,967,2384,0.67
78,960,2417,0.67
79,974,2422,0.67
80,960,2352,0.67
81,960,2291,0.67
82,966,2299,0.67
83,969,2306,0.67
84,966,2338,0.67
85,971,2768,0.67
86,955,2832,0.67
87,951,2855,0.67
88,963,2855,0.67
89,962,2864,0.67
90,962,2871,0.67
91,955,2874,0.67
92,961,2882,0.67
93,947,2896,0.67
94,960,2881,0.67
95,959,2861,0.67
96,969,2865,0.67
97,966,2862,0.67
98,963,2864,0.67
99,967,2855,0.80
100,946,2864,0.67
101,960,2861,0.67
102,950,2838,0.67
103,955,2861,0.67
104,957,2864,0.67
105,946,2859,0.67
106,945,2866,0.67
107,951,2861,0.67
108,957,2846,0.67
109,960,2864,0.80
110,973,2864,0.67
111,970,2865,0.67
112,976,2866,0.53
113,965,2879,0.40
114,973,2873,0.53
115,967,2877,0.40
116,969,2876,0.40
117,970,2855,0.40
118,988,2869,0.27
119,976,2863,0.27
120,983,2874,0.40
121,982,2863,0.27
122,1004,2870,0.27
123,1005,2845,0.27
124,1006,2850,0.27
125,1035,2843,0.27
126,985,2149,0.27
127,986,1988,0.13
128,994,2209,0.00
129,983,2193,0.00
130,990,2260,0.00
131,994,2272,0.00
132,979,3063,0.00
133,983,3089,0.00
134,989,3120,0.00
135,991,3120,0.00
136,986,3120,0.00
137,991,3120,0.00
138,989,3121,0.00
139,985,3119,0.00
140,989,3118,0.00
141,984,3125,0.00
142,981,3120,0.00
143,981,3120,0.00
144,979,3121,0.00
145,981,3120,0.00
146,990,3129,0.27
147,986,3120,0.27
148,990,3120,0.00
149,987,3101,0.00
150,986,3123,0.00
151,981,3115,0.13
152,1006,3110,0.13
153,993,3110,0.00
154,992,3120,0.27
155,994,3071,0.27
156,1008,2066,0.27
157,1006,1911,0.13
158,1008,2047,0.13
159,1009,1861,0.00
160,1003,1845,0.00
161,1011,2559,0.13
162,1010,2704,0.00
163,1003,2724,0.00
164,1008,2706,0.00
165,1008,2725,0.00
166,1008,2761,0.00
167,1008,1872,0.00
168,1006,1862,0.00
169,1001,2081,0.00
170,992,1863,0.00
171,1009,2155,0.00
172,1003,1986,0.13
173,1002,2192,0.13
174,1008,2064,0.13
175,1006,2133,0.13
176,999,2128,0.13
177,1006,2047,0.13
178,997,2197,0.13
