Time_sec,TDS_raw,Turbidity_raw,Flow_L_min
0,1712,2757,0.00
1,1712,2746,0.00
2,1717,2750,0.00
3,1715,2755,0.00
4,1712,2736,0.00
5,1715,2735,0.00
6,1710,2678,0.00
7,1747,2805,0.00
8,1760,2677,0.00
9,1731,2656,0.00
10,1730,2769,0.00
11,1719,2779,0.00
12,1712,2653,0.00
13,1695,2764,0.00
14,1659,2753,0.00
15,1648,2645,0.00
16,1617,2640,0.00
17,1587,2640,0.00
18,1578,2638,0.00
19,1535,2671,0.00
20,1530,2645,0.00
21,1521,2651,0.00
22,1504,2658,0.00
23,1502,2659,0.00
24,1494,2660,0.00
25,1487,2665,0.00
26,1461,2666,0.00
27,1470,2755,0.00
28,1459,2652,0.00
29,1454,2657,0.00
30,1442,2653,0.00
31,1450,2655,0.00
32,1446,2662,0.00
33,1428,2672,0.00
34,1427,2652,0.00
35,1426,2663,0.00
36,1425,2643,0.13
37,1425,2668,0.00
38,1412,2671,0.00
39,1405,2667,0.00
40,1408,2659,0.00
41,1405,2656,0.00
42,1393,2665,0.00
43,1392,2661,0.00
44,1387,2635,0.00
45,1392,2759,0.00
46,1366,2646,0.00
47,1383,2662,0.00
48,1382,2668,0.00
49,1372,2658,0.00
50,1370,2654,0.00
51,1365,2640,0.13
52,1369,2730,0.00
53,1338,2725,0.13
54,1296,2721,0.27
55,1298,2673,0.13
56,1302,2638,0.40
57,1294,2626,0.67
58,1294,2639,0.53
59,1301,2626,0.67
60,1310,2640,0.53
61,1322,2639,0.67
62,1330,2631,0.53
63,1328,2647,0.67
64,1328,2626,0.53
65,1339,2617,0.67
66,1344,2637,0.67
67,1350,2640,0.53
68,1350,2645,0.53
69,1360,2643,0.67
70,1376,2647,0.53
71,1360,2645,0.53
72,1361,2733,0.53
73,1367,2656,0.67
74,1374,2645,0.53
75,1377,2642,0.53
76,1374,2634,0.40
77,1387,2646,0.53
78,1383,2647,0.53
79,1396,2826,0.53
80,1386,2892,0.53
81,1392,2851,0.53
82,1386,2938,0.53
83,1392,2938,0.53
84,1404,2914,0.53
85,1405,2886,0.53
86,1394,2865,0.40
87,1391,2832,0.53
88,1391,2800,0.53
89,1397,2858,0.53
90,1397,2871,0.53
91,1395,2847,0.53
92,1393,2768,0.40
93,1392,2654,0.53
94,1403,2641,0.53
95,1391,2637,0.40
96,1393,2626,0.53
97,1401,2637,0.53
98,1411,2640,0.40
99,1406,2645,0.53
100,1408,2637,0.40
101,1399,2640,0.40
102,1402,2637,0.40
103,1398,2624,0.40
104,1404,2431,0.27
105,1394,2466,0.27
106,1398,2492,0.27
107,1405,2512,0.13
108,1389,2421,0.40
109,1389,2399,0.27
110,1402,2514,0.27
111,1380,2407,0.27
112,1389,2457,0.27
113,1387,2465,0.27
114,1381,2462,0.27
115,1387,2672,0.27
116,1383,2677,0.13
117,1379,2686,0.13
118,1392,2856,0.27
119,1375,2866,0.27
120,1376,2809,0.27
121,1369,2805,0.27
122,1375,2758,0.27
123,1376,2741,0.27
124,1375,2736,0.27
125,1371,2816,0.27
126,1373,2781,0.13
127,1367,2761,0.27
128,1363,2775,0.13
129,1362,2781,0.27
130,1360,2828,0.13
131,1360,2928,0.27
132,1360,2842,0.27
133,1363,2799,0.27
134,1360,2838,0.27
135,1351,2947,0.27
136,1367,2957,0.27
137,1361,2951,0.27
138,1354,2922,0.27
139,1350,2891,0.27
140,1355,2903,0.27
141,1360,2905,0.13
142,1353,2899,0.27
143,1351,2893,0.27
144,1354,2831,0.27
145,1345,2785,0.13
146,1346,2659,0.27
147,1360,2608,0.27
148,1345,2446,0.27
149,1346,2457,0.27
150,1346,2608,0.27
151,1337,2877,0.13
152,1344,2544,0.27
153,1344,2515,0.27
154,1332,2511,0.27
155,1337,2503,0.13
156,1335,2765,0.27
157,1344,2549,0.27
158,1334,2543,0.13
159,1342,2590,0.13
160,1333,2496,0.00
161,1330,2512,0.27
162,1330,2508,0.13
163,1337,2559,0.27
164,1340,2559,0.00
165,1328,2745,0.27
166,1335,2896,0.13
167,1335,2915,0.13
168,1328,2923,0.27
169,1322,2925,0.13
170,1331,2903,0.00
171,1324,2850,0.00
172,1317,2883,0.00
173,1327,2611,0.00
174,1321,2608,0.13
175,1317,2514,0.13
176,1328,2619,0.13
177,1318,2535,0.13
178,1315,2518,0.00
179,1323,2517,0.13
180,1318,2825,0.13
181,1315,2835,0.13
182,1328,2845,0.00
183,1315,2847,0.00
184,1319,2854,0.00
185,1312,2862,0.00
186,1307,2863,0.00
187,1311,2823,0.00
188,1297,2846,0.00
189,1302,2860,0.13
190,1299,2853,0.00
191,1303,2846,0.27
192,1302,2800,0.13
193,1298,2799,0.27
194,1311,2655,0.27
195,1309,2795,0.13
196,1307,2813,0.27
197,1301,2812,0.13
198,1297,2838,0.00
199,1302,2837,0.00
200,1308,2832,0.00
201,1299,2833,0.00
202,1296,2829,0.00
203,1297,2817,0.00
204,1296,2823,0.13
205,1296,2837,0.13
206,1296,2834,0.00
207,1293,2836,0.00
208,1298,2826,0.00
209,1294,2828,0.00
210,1295,2811,0.13
211,1293,2784,0.00
212,1291,2499,0.00
213,1296,2761,0.00
214,1291,2787,0.00
215,1282,2799,0.00
216,1285,2800,0.13
217,1285,2803,0.13
218,1286,2800,0.13
219,1273,2775,0.27
220,1271,2719,0.13
221,1276,2527,0.00
222,1268,2415,0.00
223,1283,2384,0.00
224,1279,2388,0.00
225,1279,2391,0.00
226,1282,2395,0.13
227,1275,2407,0.13
228,1278,2407,0.13
229,1279,2435,0.13
230,1274,2445,0.27
231,1275,2448,0.00
232,1268,2692,0.13
233,1274,2607,0.13
234,1268,2637,0.13
235,1318,2643,0.13
236,1279,2490,0.13
237,1281,2483,0.27
238,1276,2487,0.13
239,1294,2845,0.40
240,1266,2688,0.27
241,1271,2559,0.13
242,1269,2525,0.13
243,1264,2503,0.13
244,1264,2481,0.27
245,1266,2510,0.13
246,1261,2559,0.27
247,1265,2605,0.13
248,1270,2631,0.27
249,1270,2676,0.13
250,1271,2467,0.27
251,1264,2711,0.27
252,1264,2869,0.27
253,1255,2886,0.13
254,1260,2905,0.27
255,1263,2718,0.13
256,1247,2640,0.27
257,1262,2559,0.13
258,1263,2651,0.40
259,1273,2615,0.13
260,1264,2673,0.27
261,1261,2671,0.13
262,1259,2607,0.13
263,1259,2619,0.13
264,1249,2624,0.27
265,1249,2621,0.27
266,1255,2608,0.13
267,1255,2609,0.13
268,1249,2601,0.27
269,1253,2603,0.13
270,1259,2594,0.27
271,1253,2586,0.27
272,1262,2661,0.13
273,1262,2671,0.27
274,1244,2612,0.13
275,1252,2795,0.00
276,1250,2701,0.13
277,1245,2702,0.13
278,1234,2795,0.00
279,1245,2827,0.00
280,1250,2739,0.00
281,1257,2726,0.00
282,1247,2559,0.00
283,1249,2541,0.00
284,1248,2501,0.00
285,1232,2605,0.00
286,1246,2771,0.00
287,1238,2800,0.00
288,1233,2501,0.13
289,1237,2507,0.13
290,1243,2501,0.13
291,1240,2512,0.00
292,1236,2749,0.00
293,1246,2528,0.13
294,1243,2726,0.13
295,1231,2559,0.13
296,1230,2779,0.27
297,1230,2730,0.13
298,1230,2639,0.27
299,1228,2646,0.13
300,1232,2673,0.13
301,1233,2623,0.27
302,1236,2616,0.13
303,1232,2598,0.13
304,1227,2655,0.13
305,1231,2655,0.27
306,1227,2691,0.13
307,1229,2724,0.13
308,1219,2705,0.13
309,1227,2699,0.13
310,1232,2726,0.13
311,1232,2701,0.13
312,1222,2689,0.13
313,1227,2767,0.00
314,1220,2812,0.13
315,1230,2767,0.13
316,1221,2688,0.00
317,1228,2715,0.00
318,1230,2688,0.13
319,1227,2624,0.00
320,1217,2644,0.00
321,1223,2670,0.00
322,1221,2649,0.00
323,1229,2738,0.00
324,1221,2663,0.13
325,1213,2679,0.13
326,1227,2672,0.00
327,1230,2603,0.00
328,1219,2611,0.13
329,1237,2699,0.13
330,1203,2632,0.13
331,1213,2559,0.27
332,1217,2665,0.13
333,1216,2669,0.00
334,1218,2679,0.13
335,1216,2672,0.13
336,1211,2688,0.13
337,1210,2722,0.00
338,1206,2737,0.00
339,1217,2723,0.00
340,1199,2768,0.00
341,1206,2765,0.00
342,1200,2794,0.00
343,1213,2746,0.00
344,1206,2732,0.00
345,1217,2753,0.00
346,1203,2727,0.00
347,1203,2914,0.00
348,1198,2880,0.00
349,1202,2850,0.13
350,1193,2783,0.27
351,1197,2896,0.13
352,1200,2902,0.13
353,1200,2911,0.13
354,1202,2874,0.00
355,1210,2853,0.13
356,1200,2832,0.00
357,1202,2781,0.00
358,1192,2747,0.13
359,1199,2763,0.13
360,1192,2767,0.13
361,1186,2775,0.00
362,1200,2717,0.13
363,1202,2710,0.13
364,1200,2759,0.00
365,1200,2769,0.27
366,1200,2757,0.27
367,1190,2769,0.13
368,1186,2710,0.13
369,1189,2729,0.27
370,1180,2734,0.27
371,1178,2739,0.27
372,1185,2739,0.27
373,1183,2708,0.27
374,1185,2722,0.27
375,1186,2554,0.27
