Time_sec,TDS_raw,Turbidity_raw,Flow_L_min
0,2745,1953,1.47
1,2740,1941,1.47
2,2736,1904,1.47
3,2737,1895,1.47
4,2731,1919,1.47
5,2736,1911,1.07
6,2739,1919,0.93
7,2759,1905,0.93
8,2768,1898,0.93
9,2769,1902,0.80
10,2771,1887,0.93
11,2774,1890,1.07
12,2787,1901,0.93
13,2797,1877,1.07
14,2781,1872,0.93
15,2821,1877,0.93
16,2762,1887,0.93
17,2741,1904,0.93
18,2745,1888,1.07
19,2735,1887,0.93
20,2736,1883,0.93
21,2728,1886,0.93
22,2725,1872,0.80
23,2736,1872,0.93
24,2732,1876,0.93
25,2729,1871,0.93
26,2721,1877,0.93
27,2718,1883,0.93
28,2722,1895,0.93
29,2719,1870,0.93
30,2721,1885,1.07
31,2723,1873,0.80
32,2729,1879,0.93
33,2735,1873,0.93
34,2724,1871,0.93
35,2736,1877,0.93
36,2723,1891,0.93
37,2719,1877,0.93
38,2721,1885,0.93
39,2719,1873,0.93
40,2721,1859,0.80
41,2721,1863,1.07
42,2705,1860,0.80
43,2721,1877,0.93
44,2720,1872,0.93
45,2749,1865,0.93
46,2725,1872,0.80
47,2722,1873,0.93
48,2729,1872,0.93
49,2731,1867,0.93
50,2727,1887,1.07
51,2731,1876,0.93
52,2720,1867,1.07
53,2731,1808,1.07
54,2748,1811,1.07
55,2725,1886,1.07
56,2725,1850,1.20
57,2736,1892,1.07
58,2730,1898,1.20
59,2746,1886,1.20
60,2743,1885,1.20
61,2738,1894,1.20
62,2752,1878,1.20
63,2754,1886,1.20
64,2755,1879,1.07
65,2743,1879,1.07
66,2734,1879,1.20
67,2733,1885,1.07
68,2736,1873,1.07
69,2735,1883,1.20
70,2736,1874,1.07
71,2727,1889,1.07
72,2729,1879,1.07
73,2729,1898,1.07
74,2736,1887,1.07
75,2723,1887,1.07
76,2733,1882,1.07
77,2753,1883,1.07
78,2736,1897,0.93
79,2730,1907,1.07
80,2742,1943,1.07
81,2707,1874,1.07
82,2721,2224,0.93
83,2707,2461,0.93
84,2686,2272,1.07
85,2678,2195,0.93
86,2699,1919,0.93
87,2705,1911,1.07
88,2723,1840,0.93
89,2727,1915,1.07
90,2691,1934,0.93
91,2688,1935,1.07
92,2682,1956,1.07
93,2688,1956,0.93
94,2101,1655,1.07
95,2098,1674,0.93
96,2086,1687,1.07
97,2087,1707,1.07
98,2090,1730,0.93
99,2081,1744,1.07
100,2079,1755,0.93
101,2073,1745,1.07
102,2063,1747,1.07
103,2063,1761,0.93
104,2066,1762,1.07
105,2046,1764,1.07
106,2039,1766,1.07
107,2037,1776,1.07
108,2047,1775,1.07
109,2036,1731,1.07
110,2033,1761,1.07
111,2032,1771,1.07
112,2033,1771,1.07
113,2000,1765,1.07
114,1997,1767,1.07
115,1990,1747,1.07
116,1978,1754,1.07
117,1973,1753,1.07
118,1951,1744,1.07
119,1943,1743,1.07
120,1929,1733,1.07
121,1931,1721,1.07
122,1910,1724,1.20
123,1874,1711,1.20
124,1885,1707,1.20
125,1855,1707,1.07
126,1833,1702,1.20
127,1839,1695,1.07
128,1802,1665,1.20
129,1787,1664,1.07
130,1775,1665,1.20
131,1771,1652,1.07
132,1750,1643,1.20
133,1751,1640,1.20
134,1731,1644,1.07
135,1734,1642,1.20
136,1729,1647,1.07
137,1710,1641,1.20
138,1708,1646,1.07
139,1680,1638,1.20
140,1696,1648,1.07
141,1676,1634,1.20
142,1673,1638,1.20
143,1673,1639,1.07
144,1672,1629,1.20
145,1651,1635,1.07
146,1666,1671,1.20
147,1658,1770,1.20
148,1650,1774,1.20
149,1664,1773,1.07
150,1648,1762,1.20
151,1659,1760,1.20
152,1649,1755,1.20
153,1648,1746,1.20
154,1647,1754,1.07
155,1643,1744,1.20
156,1634,1746,1.20
157,1639,1743,1.20
158,1635,1757,1.20
159,1644,1753,1.20
