Time_sec,TDS_raw,Turbidity_raw,Flow_L_min
0,0,1585,0.27
1,2209,1566,1.07
2,2203,1662,1.33
3,2230,1607,1.20
4,2415,1535,1.33
5,2353,1499,1.33
6,2237,1457,1.33
7,2125,1409,1.33
8,2096,1397,1.47
9,2033,1350,1.33
10,1936,1369,1.47
11,1858,1323,1.47
12,1773,1268,1.33
13,1749,1263,1.47
14,1738,1143,1.33
15,1725,1216,1.47
16,1711,1206,1.47
17,1717,1205,1.47
18,1725,1213,1.33
19,1714,1197,1.47
20,1703,1204,1.47
21,1706,1201,1.60
22,1706,1200,1.47
23,1716,1201,1.47
24,1700,1203,1.47
25,1701,1206,1.47
26,1696,1209,1.47
27,1702,1215,1.47
28,1693,1228,1.60
29,1706,1235,1.47
30,1699,1236,1.47
31,1700,1245,1.47
32,1700,1234,1.47
33,1701,1246,1.47
34,1709,1250,1.60
35,1710,1259,1.47
36,1708,1264,1.47
37,1719,1264,1.47
38,1697,1271,1.47
39,1711,1270,1.47
40,1710,1274,1.60
41,1717,1273,1.47
42,1719,1280,1.47
43,1714,1278,1.47
44,1709,1285,1.47
45,1712,1289,1.47
46,1705,1284,1.60
47,1706,1293,1.47
48,1712,1289,1.47
49,1711,1277,1.47
50,1703,1296,1.47
51,1701,1302,1.47
52,1707,1301,1.47
53,1707,1291,1.47
54,1694,1290,1.47
55,1697,1301,1.47
56,1702,1286,1.47
57,1712,1287,1.47
58,1709,1296,1.47
59,1707,1296,1.47
60,1712,1306,1.47
61,1712,1299,1.47
62,1703,1307,1.47
63,1717,1296,1.33
64,1723,1319,1.47
65,1731,1316,1.47
66,1717,1315,1.47
67,1719,1314,1.47
68,1744,1309,1.33
69,1719,1326,1.47
70,1741,1322,1.33
71,1722,1335,1.47
72,1729,1330,1.47
73,1740,1343,1.33
74,1743,1335,1.47
75,1730,1339,1.47
76,1744,1355,1.47
77,1738,1351,1.47
78,1745,1353,1.33
79,1744,1354,1.47
80,1736,1360,1.47
81,1747,1363,1.47
82,1733,1364,1.47
83,1726,1381,1.47
84,1734,1376,1.47
85,1723,1383,1.33
86,1739,1392,1.47
87,1745,1383,1.47
88,1739,1405,1.47
89,1726,1407,1.33
90,1728,1411,1.47
91,1719,1423,1.47
92,1731,1418,1.33
93,1723,1419,1.47
94,1728,1429,1.33
95,1718,1427,1.47
96,1712,1440,1.47
97,1706,1437,1.33
98,1727,1446,1.47
99,1712,1447,1.47
100,1719,1444,1.47
101,1717,1463,1.33
102,1712,1455,1.47
103,1717,1461,1.33
104,1712,1465,1.47
105,1707,1467,1.47
106,1710,1476,1.33
107,1722,1475,1.47
108,1726,1487,1.33
109,1729,1482,1.47
110,1713,1488,1.33
111,1733,1482,1.33
112,1718,1486,1.33
113,1725,1499,1.33
114,1728,1492,1.47
115,1741,1491,1.33
116,1734,1495,1.33
117,1731,1494,1.33
118,1733,1502,1.33
119,1744,1495,1.33
120,1731,1494,1.47
121,1735,1502,1.33
122,1725,1505,1.33
123,1729,1511,1.47
124,1727,1514,1.33
125,1719,1516,1.33
126,1725,1513,1.33
127,1731,1513,1.33
128,1731,1511,1.33
129,1725,1525,1.33
130,1725,1521,1.33
131,1719,1527,1.33
132,1718,1527,1.33
133,1726,1530,1.33
134,1721,1535,1.33
135,1712,1534,1.33
136,1715,1535,1.33
137,1724,1535,1.33
138,1725,1535,1.33
139,1718,1535,1.33
140,1722,1535,1.33
141,1725,1534,1.33
142,1717,1535,1.33
143,1721,1535,1.33
144,1718,1535,1.33
145,1733,1555,1.33
146,1713,1559,1.20
147,1712,1569,1.33
148,1714,1535,1.33
149,1714,1535,1.33
150,1724,1535,1.33
151,1712,1535,1.20
152,1728,1557,1.33
153,1713,1535,1.33
154,1719,1535,1.33
155,1723,1564,1.20
156,1712,1579,1.33
157,1728,1571,1.33
158,1729,1570,1.20
159,1725,1564,1.33
160,1735,1570,1.33
161,1688,1591,1.20
162,1750,1712,1.20
163,1769,1741,0.93
164,1790,1732,0.67
165,1854,1789,0.80
166,1891,1805,0.80
167,1910,1838,0.80
168,1920,1837,0.93
169,1930,1850,0.93
170,1920,1856,0.93
171,1926,1855,1.07
172,1913,1866,1.07
173,1900,1879,1.07
174,1888,1886,1.20
175,1874,1893,1.07
176,1865,1895,1.07
177,1849,1899,1.20
178,1839,1900,1.07
179,1825,1895,1.20
180,1823,1904,1.20
181,1824,1903,1.20
182,1808,1895,1.07
183,1808,1902,1.20
184,1830,1908,1.20
185,1822,1910,1.07
186,1799,1907,1.20
187,1791,1904,1.20
188,1789,1906,1.07
189,1798,1911,1.20
190,1795,1909,1.07
191,1788,1911,1.20
192,1791,1920,1.07
193,1794,1911,1.20
194,1794,1917,1.20
195,1793,1907,1.07
196,1824,1924,1.20
