Time_sec,TDS_raw,Turbidity_raw,Flow_L_min
0,1382,1600,1.33
1,1355,1559,1.33
2,1342,1562,1.33
3,1325,1535,1.47
4,1281,1520,1.33
5,1262,1511,1.47
6,1248,1518,1.47
7,1253,1523,1.47
8,1264,1510,1.47
9,1232,1497,1.47
10,1226,1494,1.47
11,1234,1479,1.47
12,1239,1488,1.47
13,1244,1497,1.47
14,1246,1491,1.47
15,1247,1501,1.47
16,1233,1504,1.47
17,1242,1503,1.47
18,1248,1505,1.47
19,1239,1508,1.47
20,1227,1514,1.33
21,1219,1520,1.47
22,1215,1503,1.47
23,1200,1505,1.47
24,1202,1512,1.47
25,1214,1519,1.47
26,1234,1517,1.47
27,1201,1520,1.47
28,1218,1506,1.47
29,1226,1509,1.47
30,1223,1516,1.47
31,1235,1518,1.47
32,1218,1520,1.47
33,1232,1520,1.47
34,1229,1520,1.47
35,1217,1520,1.33
36,1207,1517,1.47
37,1210,1520,1.47
38,1198,1520,1.47
39,1232,1510,1.47
40,1215,1525,1.33
41,1217,1522,1.47
42,1213,1526,1.33
43,1237,1522,1.33
44,1225,1531,1.47
45,1184,1535,1.33
46,1193,1535,1.33
47,1205,1535,1.33
48,1198,1535,1.33
49,1190,1558,1.47
50,1190,1535,1.33
51,1182,1561,1.47
52,1179,1563,1.33
53,1185,1561,1.33
54,1175,1574,1.33
55,1171,1573,1.33
56,1170,1584,1.33
57,1168,1584,1.33
58,1168,1597,1.33
59,1170,1597,1.20
60,1197,1592,1.33
61,1181,1600,1.33
62,1142,1616,1.20
63,1173,1625,1.33
64,1155,1610,1.33
65,1167,1602,1.33
66,1166,1609,1.20
67,1150,1617,1.33
68,1181,1600,1.20
69,1169,1614,1.33
70,1175,1623,1.20
71,1181,1654,1.20
72,1204,1654,1.33
73,1195,1656,1.20
74,1207,1648,1.20
75,1200,1648,1.33
76,1199,1659,1.20
77,1201,1654,1.33
78,1207,1650,1.33
79,1207,1652,1.33
80,1223,1666,1.20
81,1203,1666,1.20
82,1197,1655,1.33
83,1200,1664,1.07
84,1197,1647,1.20
85,1197,1648,1.20
86,1174,1639,1.20
87,1184,1657,1.33
88,1197,1649,1.20
89,1200,1658,1.33
90,1190,1651,1.20
91,1183,1651,1.20
92,1177,1651,1.20
93,1190,1654,1.20
94,1181,1642,1.20
95,1175,1648,1.20
96,1173,1646,1.20
97,1157,1642,1.20
98,1189,1639,1.20
99,1171,1577,1.20
100,1170,1555,1.07
101,1168,1651,1.20
102,1154,1648,1.07
103,1179,1655,1.20
104,1153,1663,1.20
105,1168,1648,1.20
106,1146,1648,1.07
107,1175,1648,1.20
108,1173,1661,1.20
109,1167,1651,1.07
110,1177,1668,1.07
111,1163,1659,1.20
112,1167,1636,1.20
113,1170,1635,1.07
114,1137,1648,1.20
115,1158,1648,1.20
116,1153,1646,1.07
117,1157,1648,1.20
118,1168,1651,1.07
119,1155,1649,1.07
120,1151,1648,1.20
121,1153,1645,1.20
122,1155,1644,1.07
123,1129,1636,1.07
124,1136,1645,1.20
125,1151,1648,1.07
126,1147,1643,1.20
127,1131,1643,1.07
128,1117,1648,1.20
129,1154,1648,1.07
130,1157,1646,1.07
131,1126,1650,1.07
132,1119,1648,0.93
133,1142,1648,1.07
134,1137,1648,1.20
135,1168,1641,1.07
136,1129,1649,1.07
137,1136,1647,1.07
138,1153,1637,1.20
139,1121,1648,1.07
140,1087,1663,0.93
141,1104,1648,1.20
142,1135,1643,1.07
143,1147,1633,0.93
144,1104,1653,1.07
145,1134,1648,1.20
146,1104,1648,1.07
147,1120,1622,1.07
148,1121,1643,1.07
149,1131,1645,1.20
150,1152,1635,1.07
151,1165,1638,1.07
152,1185,1631,1.07
153,1180,1638,1.07
154,1168,1635,1.20
155,1143,1643,1.07
156,1149,1648,1.20
157,1158,1643,1.20
158,1174,1648,1.07
159,1141,1629,1.07
160,1143,1646,1.20
161,1156,1634,1.20
162,1153,1638,1.20
163,1152,1648,1.20
164,1150,1640,1.07
165,1148,1635,1.20
166,1172,1631,1.20
167,1186,1643,1.20
168,1181,1642,1.07
169,1168,1626,1.20
170,1168,1637,1.20
171,1184,1627,1.07
172,1161,1638,1.20
173,1163,1634,1.20
174,1166,1630,1.20
175,1205,1621,1.20
176,1199,1629,1.07
177,1185,1621,1.20
178,1199,1616,1.20
179,1205,1622,1.20
180,1232,1619,1.20
181,1250,1620,1.07
182,1245,1614,1.20
183,1217,1632,1.20
184,1219,1629,1.20
185,1207,1630,1.20
186,1209,1618,1.20
187,1190,1617,1.07
188,1195,1627,1.20
189,1182,1626,1.20
190,1193,1623,1.07
191,1187,1629,1.20
192,1183,1620,1.07
193,1187,1631,1.20
194,1200,1623,1.07
195,1203,1626,1.20
196,1186,1616,1.07
197,1187,1617,1.07
198,1186,1628,1.20
